,context,subj_ts
0,0.1,1
1,-0.1,0
2,-0.3,0
3,-0.5,0
4,-0.7,0
5,-0.1,0
6,-0.7,0
7,-0.3,0
8,-0.1,0
9,-0.3,0
10,-0.3,0
11,-0.3,0
12,-0.5,0
13,0.5,1
14,0.3,1
15,0.5,1
16,0.1,1
17,0.7,1
18,0.1,0
19,0.5,1
20,0.1,1
21,-0.1,0
22,0.1,1
23,0.5,1
24,-0.1,0
25,0.7,1
26,-0.1,0
27,-0.7,0
28,0.9,1
29,0.7,1
30,0.3,1
31,0.7,1
32,0.7,1
33,0.5,1
34,0.1,1
35,0.1,1
36,0.1,1
37,0.7,1
38,0.5,1
39,0.1,1
40,0.1,1
41,0.3,1
42,-0.1,0
43,-0.1,0
44,-0.5,0
45,-0.3,0
46,-0.1,0
47,-0.1,0
48,-0.5,0
49,-0.5,0
50,-0.3,0
51,0.3,1
52,0.5,1
53,-0.3,0
54,-1.0,0
55,-0.5,0
56,-0.7,0
57,0.9,1
58,-0.5,0
59,0.3,1
60,0.1,1
61,0.5,1
62,0.1,0
63,-0.3,0
64,0.5,1
65,1.0,1
66,0.5,1
67,0.5,1
68,1.0,1
69,0.1,1
70,0.1,1
71,0.5,1
72,0.3,1
73,0.3,1
74,-0.5,0
75,0.5,1
76,0.3,1
77,-0.3,0
78,-0.3,0
79,-0.7,0
80,0.1,1
81,0.3,1
82,0.3,1
83,0.1,1
84,-0.3,0
85,0.7,1
86,0.3,1
87,-0.1,0
88,0.1,1
89,-0.7,0
90,-0.1,0
91,-0.5,0
92,0.5,1
93,-0.9,0
94,-0.5,0
95,-0.3,0
96,-0.1,0
97,-0.3,0
98,-0.5,0
99,-0.3,0
100,-0.5,0
101,-0.1,0
102,-0.3,0
103,-0.5,0
104,0.1,0
105,0.3,1
106,0.3,1
107,-0.9,0
108,0.1,0
109,-0.1,0
110,-0.1,0
111,-0.7,0
112,-0.3,0
113,0.5,1
114,0.1,1
115,0.1,1
116,0.3,1
117,0.3,1
118,-0.1,0
119,0.5,1
120,0.1,1
121,0.3,1
122,0.7,1
123,-0.1,0
124,0.3,1
125,-0.3,0
126,-0.3,0
127,0.5,1
128,0.1,1
129,0.7,1
130,0.3,1
131,1.0,1
132,0.5,1
133,-0.3,0
134,-0.5,0
135,-0.7,0
136,-0.7,0
137,-0.1,0
138,0.1,0
139,0.3,1
140,0.3,1
141,0.1,1
142,0.3,1
143,0.9,1
144,0.7,1
145,-0.1,0
146,0.3,1
147,0.7,1
148,0.5,1
149,-0.3,0
150,-0.1,0
151,0.3,1
152,0.5,1
153,1.0,1
154,0.5,1
155,0.5,1
156,0.3,1
157,0.1,1
158,0.7,1
159,0.1,1
160,-0.1,0
161,0.3,1
162,-1.0,0
163,-0.5,0
164,0.1,0
165,0.1,0
166,-0.1,0
167,0.3,1
168,-0.3,0
169,0.1,0
170,0.3,1
171,0.3,1
172,0.1,1
173,0.7,1
174,-0.1,0
175,-0.5,0
176,-0.5,0
177,-0.5,0
178,-0.3,0
179,-0.3,0
180,-0.1,0
181,0.7,1
182,-1.0,1
183,0.1,1
184,0.7,1
185,-0.1,0
186,0.1,1
187,-0.9,0
188,-0.3,0
189,-0.7,0
190,-0.5,0
191,-0.7,0
192,-0.3,0
193,-0.5,0
194,-0.5,0
195,-0.7,0
196,0.3,1
197,-0.1,0
198,0.1,1
199,0.7,1
200,0.3,1
201,0.3,1
202,0.5,1
203,0.9,1
204,0.1,1
205,-0.5,0
206,0.3,1
207,-0.1,0
208,0.1,0
209,-0.1,0
210,-0.5,0
211,-0.7,0
212,-0.1,0
213,-0.7,0
214,0.9,1
215,-0.3,0
216,0.7,1
217,0.5,1
218,0.5,1
219,-0.1,0
220,0.3,1
221,0.1,1
222,0.5,1
223,1.0,1
224,0.1,1
225,0.7,1
226,0.5,1
227,-0.3,0
228,-0.5,0
229,0.9,1
230,-0.1,0
231,-0.1,0
232,-0.1,0
233,-0.3,0
234,0.9,1
235,0.5,1
236,-0.1,0
237,-0.1,0
238,0.3,1
239,0.1,1
240,0.5,1
241,0.1,1
242,0.7,1
243,-0.5,0
244,-0.1,0
245,0.3,1
246,0.1,0
247,-0.7,0
248,-0.3,0
249,-1.0,0
250,-0.3,0
251,-0.5,0
252,-0.1,0
253,-0.5,0
254,-0.3,0
255,-0.3,0
256,-0.3,0
257,0.7,1
258,0.7,1
259,0.9,1
260,0.3,1
261,-1.0,0
262,0.3,1
263,0.1,1
264,0.1,1
265,-0.3,0
266,-0.7,0
267,-0.1,0
268,-0.3,0
269,-0.5,0
270,-0.1,0
271,-0.3,0
272,0.1,1
273,-0.3,0
274,0.1,1
275,-0.1,0
276,-0.3,0
277,-0.5,0
278,-0.3,0
279,-0.5,0
280,-0.3,0
281,-0.3,0
282,0.3,1
283,0.5,1
284,-0.5,0
285,-0.7,0
286,-0.5,0
287,-0.7,0
288,-0.9,0
289,-0.3,0
290,-0.1,0
291,0.3,1
292,-0.5,0
293,-0.3,0
294,0.7,1
295,0.5,1
296,-0.1,0
297,0.5,1
298,0.5,1
299,0.5,1
300,0.3,1
301,0.7,1
302,0.3,1
303,0.5,1
304,0.3,1
305,-0.1,0
306,1.0,1
307,0.7,1
308,0.7,1
309,0.7,1
310,0.3,1
311,0.3,1
312,0.3,1
313,0.7,1
314,0.5,1
315,0.1,1
316,0.3,1
317,0.3,1
318,-0.1,0
319,0.3,1
320,0.3,1
321,-0.7,0
322,0.1,1
323,-0.5,0
324,-0.5,0
325,-1.0,0
326,-0.1,0
327,0.1,1
328,0.7,1
329,0.5,1
330,0.3,1
331,0.1,1
332,-0.9,0
333,-0.3,0
334,0.1,0
335,-0.1,0
336,-0.7,0
337,-0.1,0
338,0.5,1
339,0.3,1
340,0.1,1
341,-0.1,0
342,0.1,1
343,0.3,1
344,-0.3,1
345,-0.5,0
346,-0.3,0
347,0.1,1
348,0.3,1
349,-0.1,0
350,0.1,1
351,-0.3,0
352,0.7,1
353,0.5,1
354,0.3,1
355,0.1,1
356,-0.7,0
357,-0.1,0
358,-0.5,0
359,0.1,0
360,0.3,1
361,-0.1,0
362,0.5,1
363,0.1,1
364,0.1,1
365,0.5,1
366,0.9,1
367,0.3,1
368,-0.3,0
369,0.5,1
370,0.7,1
371,-0.1,0
372,-0.3,0
373,-0.1,0
374,0.3,1
375,0.1,1
376,0.7,1
377,0.9,1
378,-0.3,0
379,-0.7,0
380,-0.1,0
381,-0.1,0
382,-0.5,0
383,0.1,1
384,0.5,1
385,0.1,1
386,0.3,1
387,0.1,1
388,-0.1,0
389,-0.1,0
390,0.5,1
391,0.3,1
392,0.1,1
393,-0.3,0
394,0.7,1
395,1.0,1
396,0.5,1
397,-0.1,0
398,-0.3,0
399,-0.3,0
400,0.3,1
401,-0.1,0
402,0.3,1
403,0.3,1
404,-0.1,0
405,0.1,1
406,-0.1,0
407,0.5,1
408,0.3,1
409,-0.3,0
410,0.5,1
411,0.7,1
412,-0.3,0
413,0.1,1
414,0.1,1
415,0.5,1
416,-0.1,0
417,0.1,1
418,0.5,1
419,0.7,1
420,0.5,1
421,-0.1,0
422,0.5,1
423,0.3,1
424,-0.1,0
425,-0.3,0
426,0.5,1
427,-0.1,0
428,-0.5,0
429,-0.1,0
430,-0.3,0
431,0.5,1
432,-0.5,0
433,-0.1,0
434,-0.9,0
435,-0.9,0
436,-0.1,0
437,-0.3,0
438,-0.7,0
439,-0.3,0
440,-0.7,0
441,-0.1,0
442,-0.7,0
443,-0.3,0
444,-0.1,0
445,0.5,1
446,0.3,1
447,-0.3,0
448,-0.3,0
449,-0.1,0
450,-0.3,0
451,0.3,1
452,0.5,1
453,-0.5,0
454,0.7,1
455,0.5,1
456,-0.3,0
457,0.1,1
458,-0.1,0
459,-0.7,0
460,-0.3,0
461,-0.1,0
462,-0.5,0
463,-0.7,0
464,0.5,1
465,-0.3,0
466,0.3,1
467,-0.3,0
468,-0.3,0
469,0.1,1
470,-0.1,0
471,-0.7,0
472,0.1,1
473,-0.1,0
474,-0.1,0
475,-0.1,0
476,0.3,1
477,-0.3,0
478,-0.3,0
479,-0.3,0
480,-0.7,0
481,-0.1,0
482,-0.3,0
483,0.5,1
484,0.5,1
485,0.3,1
486,0.9,1
487,-0.3,0
488,-0.1,0
489,0.3,1
490,-0.5,0
491,0.1,1
492,-0.3,0
493,-0.5,0
494,-0.7,0
495,-0.1,1
496,-0.7,0
497,-0.1,0
498,-0.1,0
499,-0.7,0
500,-0.5,0
501,-0.7,0
502,-0.3,0
503,-0.5,0
504,-0.7,0
505,-0.5,0
506,-0.3,0
507,-0.5,0
508,0.1,0
509,0.1,0
510,-0.3,0
511,0.3,1
512,0.3,1
513,-0.9,0
514,-0.1,0
515,-0.5,0
516,-0.1,0
517,0.5,1
518,-0.1,0
519,-0.1,0
520,0.3,1
521,-0.1,0
522,0.3,1
523,0.1,1
524,-0.1,0
525,-0.5,0
526,-0.7,0
527,0.1,1
528,-0.5,0
529,-0.1,0
530,-0.5,0
531,-1.0,0
532,-0.5,0
533,0.1,0
534,-0.3,0
535,-0.5,0
536,0.1,0
537,-0.1,0
538,0.3,1
539,-0.3,0
540,-0.5,0
541,-0.5,0
542,-0.9,0
543,-0.3,0
544,-0.1,0
545,-0.5,0
546,0.9,1
547,0.5,1
548,-0.1,0
549,0.3,1
550,0.5,1
551,0.5,1
552,-0.7,0
553,-0.1,0
554,0.9,1
555,0.1,1
556,0.1,1
557,0.3,1
558,0.5,1
559,-0.3,0
560,0.5,0
561,-0.3,0
562,0.9,1
563,0.1,0
564,0.3,1
565,0.3,1
566,-0.7,0
567,-0.3,0
568,0.3,1
569,-0.1,0
570,-0.1,0
571,-0.7,0
572,-0.9,0
573,-0.1,0
574,-0.3,0
575,-0.5,0
576,0.7,1
577,0.3,1
578,0.3,1
579,-0.3,0
580,-0.5,0
581,-0.5,0
582,0.9,1
583,0.7,1
584,0.1,1
585,0.3,1
586,0.3,1
587,0.3,1
588,0.5,1
589,-0.7,0
590,-0.1,0
591,0.1,1
592,0.3,1
593,0.5,1
594,-0.1,0
595,0.3,1
596,-0.1,0
597,0.5,1
598,0.1,1
599,0.3,1
600,-0.1,0
601,0.1,1
602,-0.1,0
603,0.3,1
604,-0.5,0
605,-0.7,0
606,-0.5,0
607,0.7,1
608,-0.7,0
609,-0.1,0
610,0.3,1
611,0.5,1
612,0.5,1
613,-0.3,0
614,0.9,1
615,0.3,1
616,-0.3,0
617,0.1,1
618,0.1,1
619,-0.1,0
620,0.3,0
621,0.7,1
622,0.1,1
623,0.3,1
624,-0.5,0
625,-0.1,0
626,0.9,1
627,0.5,1
628,-0.5,0
629,0.5,1
630,0.7,1
631,0.3,1
632,-0.1,0
633,0.1,0
634,0.3,1
635,0.3,1
636,0.1,1
637,0.5,1
638,0.1,1
639,0.5,1
640,-0.3,0
641,0.7,1
642,0.5,1
643,0.1,1
644,0.1,1
645,0.9,1
646,-0.3,0
647,-0.5,0
648,-0.1,0
649,0.1,1
650,-0.1,0
651,0.1,1
652,0.3,1
653,-0.5,0
654,-0.3,0
655,-0.5,0
656,-0.3,0
657,-0.3,0
658,-0.7,0
659,-0.5,0
660,0.1,1
661,-0.5,0
662,0.1,1
663,0.1,1
664,0.5,1
665,0.7,1
666,-0.3,0
667,0.3,1
668,1.0,1
669,0.1,1
670,0.7,1
671,-0.3,0
672,-0.1,0
673,0.9,1
674,0.9,1
675,0.7,1
676,0.3,1
677,0.3,1
678,-0.5,0
679,-0.5,0
680,-0.5,0
681,0.3,1
682,0.1,0
683,-0.7,0
684,-0.3,0
685,-0.5,0
686,-0.3,0
687,-0.1,0
688,0.5,1
689,0.1,1
690,-0.7,0
691,-0.1,0
692,-0.9,0
693,-0.3,0
694,-0.3,0
695,-0.5,0
696,0.3,1
697,0.5,1
698,-0.1,0
699,0.7,1
700,0.3,1
701,0.7,1
702,0.7,1
703,0.1,1
704,0.3,1
705,-0.1,0
706,0.5,1
707,0.3,1
708,0.7,1
709,0.1,1
710,0.1,1
711,0.5,1
712,0.3,1
713,-0.1,0
714,0.5,1
715,0.1,1
716,0.5,1
717,1.0,1
718,0.5,1
719,0.1,1
720,0.9,1
721,-0.1,0
722,0.7,1
723,-0.7,0
724,-0.9,0
725,0.5,1
726,0.7,1
727,0.9,1
728,0.3,1
729,0.5,1
730,0.3,1
731,-0.3,0
732,0.7,1
733,0.7,1
734,1.0,1
735,0.3,1
736,0.5,1
737,0.5,1
738,-0.7,0
739,0.5,1
740,0.5,1
741,0.3,1
742,0.5,1
743,0.3,1
744,-0.5,0
745,0.3,1
746,0.1,0
747,-0.1,0
748,-0.5,0
749,0.7,1
750,1.0,1
751,0.1,1
752,0.3,1
753,-0.1,0
754,0.5,1
755,0.3,1
756,0.7,1
757,0.1,1
758,0.1,1
759,0.1,1
760,0.7,1
761,-0.3,0
762,0.5,1
763,0.5,1
764,-0.1,0
765,0.9,1
766,0.3,1
767,0.1,1
768,0.7,1
769,0.9,1
770,0.5,1
771,0.9,1
772,-0.1,0
773,-0.3,0
774,-0.3,0
775,0.3,1
776,0.3,1
777,0.1,1
778,0.5,1
779,-0.3,0
780,-0.1,0
781,0.7,1
782,0.5,1
783,-1.0,0
784,1.0,1
785,0.5,1
786,0.1,1
787,0.5,1
788,0.1,1
789,0.5,1
790,0.3,0
791,0.1,1
792,-0.9,0
793,-0.1,0
794,-0.7,0
795,-0.3,0
796,0.1,1
797,-0.7,0
798,0.3,1
